   Município;Região Administrativa;Região de Governo;Região Metropolitana;


"Região Metropolitana da Baixada Santista";

"Cubatão";"-";"-";"Região Metropolitana da Baixada Santista";
"Guarujá";"-";"-";"Região Metropolitana da Baixada Santista";
"Itanhaém";"-";"-";"Região Metropolitana da Baixada Santista";
"Mongaguá";"-";"-";"Região Metropolitana da Baixada Santista";
"Peruíbe";"-";"-";"Região Metropolitana da Baixada Santista";
"Praia Grande";"-";"-";"Região Metropolitana da Baixada Santista";
"Santos";"-";"-";"Região Metropolitana da Baixada Santista";
"São Vicente";"-";"-";"Região Metropolitana da Baixada Santista";
"Bertioga";"-";"-";"Região Metropolitana da Baixada Santista";

"Região Metropolitana de São Paulo";

"Arujá";"-";"-";"Região Metropolitana de São Paulo";
"Barueri";"-";"-";"Região Metropolitana de São Paulo";
"Biritiba Mirim";"-";"-";"Região Metropolitana de São Paulo";
"Caieiras";"-";"-";"Região Metropolitana de São Paulo";
"Cajamar";"-";"-";"Região Metropolitana de São Paulo";
"Carapicuíba";"-";"-";"Região Metropolitana de São Paulo";
"Cotia";"-";"-";"Região Metropolitana de São Paulo";
"Diadema";"-";"-";"Região Metropolitana de São Paulo";
"Embu das Artes";"-";"-";"Região Metropolitana de São Paulo";
"Embu-Guaçu";"-";"-";"Região Metropolitana de São Paulo";
"Ferraz de Vasconcelos";"-";"-";"Região Metropolitana de São Paulo";
"Francisco Morato";"-";"-";"Região Metropolitana de São Paulo";
"Franco da Rocha";"-";"-";"Região Metropolitana de São Paulo";
"Guararema";"-";"-";"Região Metropolitana de São Paulo";
"Guarulhos";"-";"-";"Região Metropolitana de São Paulo";
"Itapecerica da Serra";"-";"-";"Região Metropolitana de São Paulo";
"Itapevi";"-";"-";"Região Metropolitana de São Paulo";
"Itaquaquecetuba";"-";"-";"Região Metropolitana de São Paulo";
"Jandira";"-";"-";"Região Metropolitana de São Paulo";
"Juquitiba";"-";"-";"Região Metropolitana de São Paulo";
"Mairiporã";"-";"-";"Região Metropolitana de São Paulo";
"Mauá";"-";"-";"Região Metropolitana de São Paulo";
"Mogi das Cruzes";"-";"-";"Região Metropolitana de São Paulo";
"Osasco";"-";"-";"Região Metropolitana de São Paulo";
"Pirapora do Bom Jesus";"-";"-";"Região Metropolitana de São Paulo";
"Poá";"-";"-";"Região Metropolitana de São Paulo";
"Ribeirão Pires";"-";"-";"Região Metropolitana de São Paulo";
"Rio Grande da Serra";"-";"-";"Região Metropolitana de São Paulo";
"Salesópolis";"-";"-";"Região Metropolitana de São Paulo";
"Santa Isabel";"-";"-";"Região Metropolitana de São Paulo";
"Santana de Parnaíba";"-";"-";"Região Metropolitana de São Paulo";
"Santo André";"-";"-";"Região Metropolitana de São Paulo";
"São Bernardo do Campo";"-";"-";"Região Metropolitana de São Paulo";
"São Caetano do Sul";"-";"-";"Região Metropolitana de São Paulo";
"São Lourenço da Serra";"-";"-";"Região Metropolitana de São Paulo";
"São Paulo";"-";"-";"Região Metropolitana de São Paulo";
"Suzano";"-";"-";"Região Metropolitana de São Paulo";
"Taboão da Serra";"-";"-";"Região Metropolitana de São Paulo";
"Vargem Grande Paulista";"-";"-";"Região Metropolitana de São Paulo";

